fort_id,name,alternate_names,district,taluka,latitude,longitude,base_village,type,elevation_m,current_condition,era,built_by,year_of_construction,key_events,trek_difficulty,trek_time_hours,best_season,water_availability,accommodation,asi_protected,notes
91,Gagangad,,Kolhapur,Gaganbawada,16.5333,73.8333,Gagangad,Giri Durg (Hill Fort),930,Partially Ruined,Maratha Empire; Kolhapur State,Unknown,c. 15th Century,Famous for the Gagangiri Maharaj Math,Easy,0.5,All Seasons,Available,Ashram,FALSE,Accessible by road; primarily a pilgrimage site now.
92,Galna Fort,,Nashik,Malegaon,20.7303,74.4983,Galna,Giri Durg (Hill Fort),734,Partially Ruined,Rathod Rajputs,Rajput Chieftains,c. 14th Century,Controlled the Surat-Burhanpur trade route,Easy,1,Winter,None,None,FALSE,A historical fort with a mix of Hindu and Islamic architecture.
93,Gambhirgad,,Palghar,Dahanu,20.0678,73.1165,Patilpada,Giri Durg (Hill Fort),670,In Ruins,Maratha Empire,Unknown,c. 17th Century,Guarded the northern Konkan region,Medium,2.5,Winter,Seasonal,Caves,FALSE,Known for its dense forest trek and panoramic views.
94,Gandharvagad,,Kolhapur,Chandgad,15.9186,74.1953,Gandharvagad,Giri Durg (Hill Fort),750,In Ruins,Maratha Empire,Unknown,Unknown,Small fort known for its caves,Easy,1,Winter,Seasonal,Caves,FALSE,A remote fort with scenic surroundings.
95,Gawilgad,Gawilghur,Amravati,Chikhaldara,21.3653,77.3375,Chikhaldara,Giri Durg (Hill Fort),1103,Partially Ruined,Gavali (Cowherd Kings); Bahmani Sultanate,Ahmad Shah Wali,c. 1425,Major stronghold in Berar; captured by British under Arthur Wellesley in 1803,Medium,2,Winter,Seasonal,None,TRUE,Located in Melghat Tiger Reserve; known for its intricate carvings and massive walls.
96,Ghangad,,Pune,Mulshi,18.5772,73.3444,Ekole,Giri Durg (Hill Fort),914,Partially Ruined,Maratha Empire,Unknown,Unknown,Watchtower fort near Tamhini Ghat,Easy,2,Winter,Seasonal,Caves,FALSE,Recently restored with ladders for the final climb.
97,Gharapuri,Elephanta Island,Raigad,Uran,18.9633,72.9317,Gharapuri,Jal Durg (Sea Fort),173,Partially Ruined,Maurya Dynasty,Unknown,c. 2nd Century BCE,Site of Elephanta Caves; had two cannons on top,Easy,1,All Seasons,Available,None,TRUE,The fort structure is minimal  known primarily for the UNESCO World Heritage caves.
98,Ghargad,Gadgada,Nashik,Trimbakeshwar,19.7825,73.5786,Ghoti,Giri Durg (Hill Fort),853,In Ruins,Maratha Empire,Unknown,Unknown,A small fort known for its thrilling rock patch,Hard,2,Winter,None,None,FALSE,Trek involves a narrow chimney-style rock climb.
99,Ghodbunder Fort,,Thane,Thane,19.2892,72.8897,Ghodbunder,Bhuikot (Land Fort),25,Partially Ruined,Portuguese,Portuguese,c. 1550,Controlled trade on Ulhas river; has a church within,Easy,0.2,All Seasons,None,None,TRUE,The fort is now used for government training purposes.
100,Ghosalgad,,Raigad,Roha,18.3584,73.1788,Ghosale,Giri Durg (Hill Fort),366,Partially Ruined,Maratha Empire,Shivaji Maharaj,c. 17th Century,Paired with Talgad to guard the Mandad river creek,Easy,1.5,Monsoon; Winter,Year-round,Caves; Temple,FALSE,Offers great views of the surrounding valleys and forts like Kuda Caves.
101,Ghotavade Fort,,Pune,Mulshi,18.5412,73.6815,Ghotavade,Giri Durg (Hill Fort),700,Completely Ruined,Maratha Empire,Unknown,Unknown,A small hillock fort,Easy,0.5,Winter,None,None,FALSE,Almost no structure remains just a small hill.
102,Goa Fort (Harnai),Kanakdurg,Ratnagiri,Dapoli,17.8167,73.0833,Harnai,Jal Durg (Sea Fort),15,Well-Preserved,Maratha Empire,Shivaji Maharaj,c. 1660,Land-based fort connected to the sea fort Suvarnadurg,Easy,0.2,Winter,None,None,FALSE,Note: This is one of the three land forts protecting Suvarnadurg.
103,Gojagad,,Ahilyanagar,Sangamner,19.4583,74.15,Gojagadwadi,Giri Durg (Hill Fort),850,In Ruins,Maratha Empire,Unknown,Unknown,Small watchtower fort,Easy,1,Winter,None,None,FALSE,A simple and short trek with ruins of a gateway.
104,Gopalgad,Anjanvel Fort,Ratnagiri,Guhagar,17.1517,73.1519,Anjanvel,Jal Durg (Sea Fort),30,Well-Preserved,Bijapur Sultanate; Maratha Empire,Shivaji Maharaj (rebuilt),c. 1660,Guarded the Dabhol creek; renamed Gopalgad by Shivaji Maharaj,Easy,0.5,Winter,None,None,TRUE,Note: This is a duplicate entry for Anjanvel Fort (ID 013).
105,Gorakhgad,,Thane,Murbad,19.1607,73.5414,Dehri,Giri Durg (Hill Fort),653,Caves,Yadava Dynasty,Unknown,c. 12th Century,Pilgrimage site with a challenging rock pinnacle,Medium,2.5,Winter,Year-round,Caves; Temple,FALSE,Famous for its rock-cut steps and a large cave that can accommodate many trekkers.
106,Gorakhgad (Manmad),,Nashik,Manmad,20.2525,74.4511,Ankai,Giri Durg (Hill Fort),850,In Ruins,Yadava Dynasty,Unknown,Unknown,A hillock near Ankai-Tankai with some fortifications,Easy,1,Winter,None,None,FALSE,"Note: This is a smaller fort near Ankai, different from Gorakhgad near Murbad."
107,Gowalkot Fort,Govindgad,Ratnagiri,Chiplun,17.5333,73.4833,Chiplun,Giri Durg (Hill Fort),50,Partially Ruined,Maratha Empire,Shivaji Maharaj,c. 1670,Guarded the Vashishti river and the port of Chiplun,Easy,0.5,Winter,None,None,FALSE,Overlooks the town of Chiplun and the river.
108,Gunvantgad,,Satara,Patan,17.4431,73.7892,Gunavant,Giri Durg (Hill Fort),975,In Ruins,Maratha Empire,Shivaji Maharaj,c. 17th Century,Guarded the route to Mahabaleshwar,Easy,1,Winter,Seasonal,Temple,FALSE,A straightforward trek with a temple at the top.
109,Hadsar Fort,Parvatgad,Pune,Junnar,19.2618,73.8055,Hadsar,Giri Durg (Hill Fort),1123,Partially Ruined,Satavahana Dynasty,Satavahanas,c. 3rd Century,Known for its uniquely carved entrance tunnel and rock-cut steps,Medium,2,Winter,Year-round,Caves; Temple,FALSE,One of the five forts around Junnar.
110,Hanumantgad,,Kolhapur,Bhudargad,16.2083,74.0083,Kondoshi,Giri Durg (Hill Fort),990,In Ruins,Maratha Empire,Unknown,Unknown,Small fort in the Bhudargad range,Easy,1,Post-Monsoon,None,None,FALSE,A scenic trek through dense forest.
111,Hanumantgad (Junnar),,Pune,Junnar,19.3333,73.7333,Khamgaon,Giri Durg (Hill Fort),1188,Partially Ruined,Yadava Dynasty,Unknown,c. 13th Century,Twin fort to Nimgiri; has several rock-cut cisterns,Medium,2,Winter,Year-round in cisterns,Caves,FALSE,Note: This is the Hanumantgad that is a twin to Nimgiri Fort.
112,Hanumantgad (Sindhudurg),,Sindhudurg,Dodamarg,15.8236,74.0012,Fukeri,Giri Durg (Hill Fort),350,In Ruins,Maratha Empire,Unknown,Unknown,A forest fort on the Goa-Maharashtra border,Medium,2.5,Winter,Seasonal,None,FALSE,Note: This is a different fort from the one in Kolhapur district.
113,Hargad,,Nashik,Baglan,20.7845,74.0721,Mulher,Giri Durg (Hill Fort),1280,In Ruins,Maratha Empire,Unknown,c. 17th Century,Part of the Mulher-Mora-Hargad fort trio,Medium,2.5,Winter,None,Caves,FALSE,A companion fort to Mulher often trekked together.
114,Harihar Fort,Harshagad,Nashik,Trimbakeshwar,19.8975,73.4731,Nirgudpada,Giri Durg (Hill Fort),1120,Partially Ruined,Yadava Dynasty,Yadavas of Devgiri,c. 13th Century,Guarded the Gonda Ghat trade route,Medium,2.5,Winter,Seasonal,Caves; Small hut,FALSE,Famous for its iconic 80-degree inclined rock-cut steps.
115,Harishchandragad,,Ahilyanagar,Akole,19.3908,73.7803,Pachnai; Khireshwar,Giri Durg (Hill Fort),1422,Partially Ruined,Kalachuri Dynasty,Unknown,c. 6th Century,Features Konkan Kada; Kedareshwar Cave; Taramati Peak,Medium,4,Winter,Year-round,Caves; Temple,TRUE,A vast plateau fort; a paradise for trekkers and nature lovers.
116,Hatgad,,Nashik,Surgana,20.5517,73.8111,Hatgad,Giri Durg (Hill Fort),1097,Partially Ruined,Maratha Empire,Shivaji Maharaj,c. 17th Century,Guarded the route into Gujarat,Easy,1,Winter,Year-round,Caves,FALSE,Located near the Saputara hill station; accessible by well-laid steps.
117,Indragad,Indrai,Nashik,Chandwad,20.3069,74.2753,Indrawadi,Giri Durg (Hill Fort),1378,In Ruins,Yadava Dynasty,Unknown,c. 12th Century,Features a large number of caves,Medium,2,Winter,Year-round in cisterns,Caves,FALSE,Note: This is an alternate name for Indrai Fort (ID 074).
118,Indrai Fort,Indragiri,Nashik,Chandwad,20.3069,74.2753,Indrawadi,Giri Durg (Hill Fort),1378,In Ruins,Yadava Dynasty,Unknown,c. 12th Century,Features a large number of caves,Medium,2,Winter,Year-round in cisterns,Caves,FALSE,Known for its huge cave complex that can house hundreds of people.
119,Induri Fort,Talegaon Fort,Pune,Maval,18.7301,73.6558,Induri,Bhuikot (Land Fort),580,Partially Ruined,Maratha Empire,Sardar Khanderao Dabhade,c. 1720-21,Built on the banks of the Indrayani river,Easy,0.2,Winter,None,None,FALSE,Known for the samadhi of Sarsenapati Khanderao Dabhade.
120,Irshalgad,,Raigad,Khalapur,18.91,73.2289,Irshalwadi,Giri Durg (Hill Fort),1128,Pinnacle,Maratha Empire,Unknown,Unknown,Sister fort to Prabalgad; used as a watchtower,Medium,2.5,Monsoon; Winter,Seasonal,None,FALSE,A pinnacle fort with a small area on top; the final climb is tricky.
121,Jaigad Fort,,Ratnagiri,Ratnagiri,17.3,73.2167,Jaigad,Jal Durg (Sea Fort),40,Well-Preserved,Bijapur Sultanate,Bijapur rulers,c. 16th Century,Guarded the Shastri river creek; has a lighthouse nearby,Easy,0.5,Winter,None,None,TRUE,A large coastal fort offering spectacular views of the sea and creek.
122,Jamgaon Fort,,Ahilyanagar,Karjat,18.5721,75.0118,Jamgaon,Bhuikot (Land Fort),600,Well-Preserved,Maratha Empire,Mahadaji Scindia,c. 18th Century,Known for its beautiful pillared mansion (wada),Easy,0.5,Winter,None,None,FALSE,The main attraction is the well-preserved wada inside the fort walls.
123,Janjala Fort,Vaishagad,Jalna,Bhokardan,20.3341,75.8423,Janjala,Giri Durg (Hill Fort),750,In Ruins,Yadava Dynasty,Unknown,c. 12th Century,A large hill fort with extensive fortifications,Medium,2,Winter,Seasonal,Caves,FALSE,Known for its two levels of fortification and rock-hewn caves.
124,Janjira,Murud-Janjira,Raigad,Murud,18.3,72.9639,Rajpuri,Jal Durg (Sea Fort),12,Well-Preserved,Siddi Dynasty,Malik Ambar (Initial),17th Century,Remained unconquered by Marathas; Portuguese; and British,Easy,0.5,Winter,None on fort,Hotels in Murud,TRUE,Note: This is the common name for Murud-Janjira Fort (ID 133).
125,Jawalya,Javalagad,Nashik,Satana,20.5714,74.2012,Jawalya,Giri Durg (Hill Fort),1200,In Ruins,Maratha Empire,Unknown,Unknown,A small fort in the Satmala hill range,Medium,2,Winter,None,None,FALSE,A lesser-known fort offering views of the surrounding range.
126,Jivdhan Fort,,Pune,Junnar,19.2319,73.6667,Ghatghar,Giri Durg (Hill Fort),1145,Partially Ruined,Satavahana Dynasty,Satavahanas,c. 1st Century BC,Guarded the Naneghat trade route; features Vanderlingi pinnacle,Hard,3,Winter,Seasonal,Caves,FALSE,Part of the 'Famous 5' treks of the Junnar region; involves a rock patch.
127,Jungli Jaigad,,Satara,Patan,17.4912,73.6931,Navja,Van Durg (Forest Fort),1000,In Ruins,Maratha Empire,Shivaji Maharaj,Unknown,A remote forest fort in the Koyna Wildlife Sanctuary,Hard,5,Winter,Seasonal,None,FALSE,"A challenging jungle trek, different from the coastal Jaigad fort."
128,Kailasgad,,Pune,Mulshi,18.4521,73.4513,Vaduste,Giri Durg (Hill Fort),800,In Ruins,Maratha Empire,Unknown,Unknown,A small fort overlooking the backwaters of Mulshi dam,Easy,1.5,Winter,None,None,FALSE,A short trek ideal for beginners.
129,Kakati Fort,,Kolhapur,Kagal,16.5711,74.3015,Kakati,Bhuikot (Land Fort),600,In Ruins,Unknown,Unknown,Unknown,A small village fortification or 'gadi',Easy,0.2,Winter,None,None,FALSE,Very little remains of this small fort.
130,Kala Killa,Dharavi Fort,Mumbai City,Sion,19.0436,72.8683,Dharavi,Bhuikot (Land Fort),15,Partially Ruined,British,British East India Company,c. 1737,Local name for the Dharavi or Riwa fort,Easy,0.1,All Seasons,None,None,FALSE,Note: This is an alternate name for Riwa Fort (ID 170).
131,Kaladgad,,Raigad,Mangaon,18.2915,73.3421,Kaladgad,Giri Durg (Hill Fort),350,In Ruins,Maratha Empire,Unknown,Unknown,A small watchtower fort near Mangaon,Easy,1.5,Winter,None,None,FALSE,A simple trek with few remains of the fort.
132,Kalanidhigad,Kalanandi Durg,Kolhapur,Chandgad,15.8653,74.156,Patne,Giri Durg (Hill Fort),975,Partially Ruined,Shilahara Dynasty,Bhoj II,c. 12th Century,Guarded the Parpoli Ghat,Easy,1.5,Post-Monsoon,Seasonal,Temple,FALSE,A scenic fort with lush green surroundings in the monsoon.
133,Kalavantin Durg,,Raigad,Panvel,18.9806,73.2208,Thakurwadi,Giri Durg (Hill Fort),686,Pinnacle,Bahmani Sultanate,Unknown,c. 15th Century,Watchtower for Prabalgad fort,Hard,2.5,Winter,None,None,FALSE,Famous for its breathtaking zigzag rock-cut steps and steep drop.
134,Kaldurg,Kaldurg Fort,Palghar,Palghar,19.6631,72.9367,Waghobachi wadi,Giri Durg (Hill Fort),475,In Ruins,Maratha Empire,Unknown,Unknown,Watchtower fort near Palghar,Easy,2,Winter,None,None,FALSE,Note: This is a duplicate entry for Kaldurg Fort (ID 080).
135,Kaldurg Fort,,Palghar,Palghar,19.6631,72.9367,Waghobachi wadi,Giri Durg (Hill Fort),475,In Ruins,Maratha Empire,Unknown,Unknown,Watchtower fort near Palghar,Easy,2,Winter,None,None,FALSE,A rectangular-shaped fort with two distinct levels.
136,Kalyangad,Nandgiri,Satara,Satara,17.7561,74.2341,Nandgiri,Giri Durg (Hill Fort),1082,Partially Ruined,Shilahara Dynasty,Bhoj II,c. 12th Century,One of the 11 forts built by King Bhoj II of Panhala,Easy,1.5,Winter,Year-round,Temple; Caves,FALSE,Features a large cave with a temple of Lord Hanuman.
137,Kamalgad,,Satara,Wai,17.895,73.785,Tupewadi,Giri Durg (Hill Fort),1375,In Ruins,Maratha Empire,Unknown,c. 17th Century,Known for its unique natural rock structure with a hole,Medium,2,Winter,Seasonal,None,FALSE,"A flat-topped fort, also called 'Navra-Navri' Dongar by locals."
138,Kamandurg,,Palghar,Vasai,19.4314,72.9781,Devkuni,Giri Durg (Hill Fort),650,In Ruins,Maratha Empire,Unknown,Unknown,A difficult-to-access fort deep in the Tungareshwar Wildlife Sanctuary,Hard,4,Winter,None,None,FALSE,The trek is challenging due to dense forest and lack of a clear path.
139,Kanakdurg,Goa Fort (Harnai),Ratnagiri,Dapoli,17.8167,73.0833,Harnai,Jal Durg (Sea Fort),15,Well-Preserved,Maratha Empire,Shivaji Maharaj,c. 1660,Land-based fort connected to the sea fort Suvarnadurg,Easy,0.2,Winter,None,None,FALSE,Note: This is a duplicate entry for Goa Fort (Harnai) (ID 266).
140,Kanchangad,,Satara,Koregaon,17.7615,74.2113,Kanchangad,Giri Durg (Hill Fort),1050,In Ruins,Maratha Empire,Unknown,Unknown,A small hill fort with a bastion and a few cisterns,Easy,1,Winter,None,None,FALSE,Offers good views of Vardhangad and surrounding areas.
141,Kandhar Fort,,Nanded,Kandhar,18.8828,77.2025,Kandhar,Bhuikot (Land Fort),410,Partially Ruined,Rashtrakuta Dynasty,Krishna III,c. 10th Century,A large land fort with a moat filled with water,Easy,1,Winter,Not applicable,None,TRUE,Known for its massive gates and an imposing citadel.
142,Kanhergad,Kanhira,Nashik,Satana,20.4,74.15,Kanherwadi,Giri Durg (Hill Fort),1006,In Ruins,Maratha Empire,Unknown,Unknown,Watchtower fort in the Satmala range,Medium,2,Winter,None,None,FALSE,A lesser-known trek offering good views.
143,Kankrala Fort,,Nashik,Malegaon,20.4861,74.6083,Kankrala,Giri Durg (Hill Fort),762,In Ruins,Maratha Empire,Unknown,Unknown,Part of the Galna hill range,Easy,1,Winter,None,None,FALSE,A small fort with remnants of walls and cisterns.
144,Karha Fort,,Ahilyanagar,Pathardi,19.0833,75.1667,Karhewadi,Giri Durg (Hill Fort),900,In Ruins,Maratha Empire,Unknown,Unknown,Small hill fort,Easy,1,Winter,None,None,FALSE,Mostly in ruins with a small temple at the top.
145,Karmala Fort,,Solapur,Karmala,18.4141,75.2012,Karmala,Bhuikot (Land Fort),560,Partially Ruined,Nizam Shahi,Rao Rambha Nimbalkar,c. 17th Century,A land fort with a large well and a temple,Easy,0.5,Winter,None,None,FALSE,The fort is located inside Karmala town.
146,Karnala Fort,Funnel Hill,Raigad,Panvel,18.8864,73.1206,Aapte,Giri Durg (Hill Fort),439,Partially Ruined,Yadava Dynasty,Yadavas of Devgiri,c. 13th Century,Known for its 125 ft high volcanic plug called Pandu's tower,Easy,2,Monsoon; Winter,Seasonal,None,FALSE,Located within the Karnala Bird Sanctuary.
147,Katora Fort,,Bhandara,Tumsar,21.5,79.75,Katora,Bhuikot (Land Fort),280,In Ruins,Gond Kingdom,Unknown,c. 18th Century,Small fort near Ambagad,Easy,0.5,Winter,None,None,FALSE,A minor fortification now mostly earthen mounds remain.
148,Katra Fort,,Gadchiroli,Sironcha,18.8351,79.9612,Sironcha,Bhuikot (Land Fort),120,In Ruins,Gond Kingdom,Gond Kings,Unknown,A small fort near the confluence of Godavari and Indravati rivers,Easy,0.5,Winter,None,None,FALSE,Located in a remote area now mostly in ruins.
149,Kauthigad,,Raigad,Sudhagad,18.575,73.2,Kauthigwadi,Giri Durg (Hill Fort),600,In Ruins,Maratha Empire,Unknown,Unknown,Small fort near Sudhagad,Easy,1.5,Winter,None,Caves,FALSE,A small trek often visited along with Sudhagad fort.
150,Kavnai,,Nashik,Igatpuri,19.7431,73.6669,Kavnai,Giri Durg (Hill Fort),914,Partially Ruined,Mughal Empire,Unknown,c. 17th Century,Used as a prison by the Mughals,Easy,1,Winter,Seasonal,Temple; Caves,FALSE,Note: This is a duplicate entry for Kavnai Fort (ID 091).
151,Kelve Fort,,Palghar,Palghar,19.5951,72.7315,Kelve,Bhuikot (Land Fort),5,In Ruins,Portuguese,Portuguese,c. 1550s,A land-based fort near Kelve beach,Easy,0.2,Winter,None,None,FALSE,Not to be confused with the Kelve Pankot (sea fort).
152,Kelve Mahim,Mahim Fort (Palghar),Palghar,Palghar,19.5714,72.7412,Mahim,Bhuikot (Land Fort),5,In Ruins,Sultanate of Gujarat,Bahadur Shah,c. 14th Century,A coastal fort that was the seat of the local administration,Easy,0.5,Winter,None,None,FALSE,A large but completely ruined fort in the town of Mahim Palghar.
153,Kelve Pankot,,Palghar,Palghar,19.6015,72.7214,Kelve,Jal Durg (Sea Fort),2,In Ruins,Portuguese,Portuguese,c. 16th Century,A small sea fort to protect the Kelve creek,Easy,0.2 (low tide),Winter,None,None,FALSE,Accessible by walking during low tide from Kelve beach.
154,Kenjalgad,Gherakhelanja,Satara,Wai,18.0675,73.8053,Ghera Kenjal,Giri Durg (Hill Fort),1310,Partially Ruinen,Maratha Empire,Shivaji Maharaj,c. 1674,Captured by Shivaji Maharaj; one of his last conquests,Easy,1,Winter,Year-round,Temple,FALSE,"A flat-topped fort that is easy to climb, with great views of the Krishna river valley."
155,Khairai,,Pune,Bhor,18.1741,73.8321,Khairai,Giri Durg (Hill Fort),900,In Ruins,Maratha Empire,Unknown,Unknown,A small fort near Rohida,Easy,1.5,Winter,None,None,FALSE,Often visited by trekkers exploring the Bhor region.
156,Khanderi,,Raigad,Alibag,18.7,72.8125,Thal,Jal Durg (Sea Fort),10,Well-Preserved,Maratha Empire,Shivaji Maharaj,c. 1679,Built to check the Siddis at Janjira; has a lighthouse,Easy,0.5,Winter,Seasonal,Lighthouse quarters,FALSE,Island fort accessible by boat; paired with the Underi fort.
157,Kharda Fort,Shivpatta,Ahilyanagar,Jamkhed,18.6256,75.4678,Kharda,Bhuikot (Land Fort),750,Partially Ruined,Nizam Shahi,Unknown,c. 15th Century,"Site of the Battle of Kharda, 1795, between Marathas and the Nizam",Easy,0.5,Winter,None,None,FALSE,A land fort known for its historical battle.
158,Kharepatan,,Sindhudurg,Kankavli,16.5611,73.5542,Kharepatan,Bhuikot (Land Fort),20,In Ruins,Shilahara Dynasty,Unknown,c. 12th Century,Ancient port town fort on the banks of Vaghotan river,Easy,0.5,Winter,None,None,FALSE,Only remnants of the walls can be seen today.
159,Khubladha Fort,,Nashik,Manmad,20.2415,74.4312,Khubladha,Giri Durg (Hill Fort),800,In Ruins,Unknown,Unknown,Unknown,A small hillock with some fortifications near Manmad,Easy,1,Winter,None,None,FALSE,Lesser-known and with minimal remains.
160,Kohoj Fort,,Palghar,Wada,19.7892,73.0853,Vaghote,Giri Durg (Hill Fort),610,Partially Ruined,Bhoj Raja of Shilahar,Bhoj Raja,c. 13th Century,Known for its unique man-shaped pinnacle,Medium,3,Winter,Seasonal,Temple; Caves,FALSE,Offers a panoramic view of the Palghar region's lakes.
161,Kolaba Fort,Alibag Fort,Raigad,Alibag,18.6417,72.8611,Alibag,Jal Durg (Sea Fort),10,Well-Preserved,Maratha Empire,Shivaji Maharaj,c. 1680,Major naval station for the Maratha Navy under Sarkhel Kanhoji Angre,Easy,0.5,Winter,Sweet water well,None,TRUE,Accessible by foot during low tide and by boat during high tide from Alibag beach.
162,Koldher Fort,,Nashik,Satana,20.55,74.15,Koldher,Giri Durg (Hill Fort),1158,In Ruins,Maratha Empire,Unknown,Unknown,Small watchtower fort,Medium,2,Winter,None,None,FALSE,A lesser-known fort in the Satmala range.
163,Koldurg,,Pune,Mulshi,18.5833,73.3512,Ekole,Giri Durg (Hill Fort),900,In Ruins,Maratha Empire,Unknown,Unknown,A small fort near Ghangad,Easy,1.5,Winter,None,None,FALSE,Often visited along with Ghangad fort.
164,Kolkewadi Fort,,Ratnagiri,Chiplun,17.4912,73.6841,Kolkewadi,Giri Durg (Hill Fort),300,In Ruins,Maratha Empire,Unknown,Unknown,Fort overlooking the Kolkewadi Dam,Easy,1,Winter,None,None,FALSE,The fort area is mostly within the dam premises.
165,Kondhavi,,Raigad,Roha,18.4112,73.1231,Kondhavi,Giri Durg (Hill Fort),200,In Ruins,Maratha Empire,Unknown,Unknown,A small fort on the banks of the Kundalika river,Easy,1,Winter,None,None,FALSE,Minimal ruins remain.
166,Korigad,Koraigad,Pune,Maval,18.6167,73.3833,Peth Shahapur,Giri Durg (Hill Fort),923,Well-Preserved,Maratha Empire,Shivaji Maharaj,c. 1657,Captured and incorporated into Swarajya; has two large ponds on top,Easy,1,Monsoon; Winter,Year-round,Koraidevi Temple,FALSE,A popular trek near Lonavala and Aamby Valley; fort walls are completely intact.
167,Korlai Fort,Morro de Chaul,Raigad,Murud,18.5333,72.9,Korlai,Jal Durg (Sea Fort),90,Partially Ruined,Portuguese,Portuguese,c. 1521,Guarded the Revdanda creek; captured by Marathas,Easy,1,Winter,None,Lighthouse,TRUE,A massive Portuguese fort with 11 gates and a lighthouse; known for its unique Creole language-speaking villagers.
168,Kotakmate Fort,,Sindhudurg,Devgad,16.3915,73.4112,Kotakmate,Giri Durg (Hill Fort),100,In Ruins,Maratha Empire,Unknown,Unknown,Small coastal watchtower near Devgad,Easy,0.5,Winter,None,None,FALSE,Offers views of the Arabian sea and Devgad port.
169,Kulang Fort,,Nashik,Igatpuri,19.5894,73.6492,Kulangwadi,Giri Durg (Hill Fort),1470,In Ruins,Maratha Empire,Unknown,c. 17th-18th Century,Part of the intense Alang-Madan-Kulang trek,Hard,4,Winter,Year-round in cisterns,Caves,FALSE,The largest of the AMK trio; requires a long and strenuous trek.
170,Kunjargad,Kombadgad,Ahilyanagar,Akole,19.4678,73.8825,Kunjargadwadi,Giri Durg (Hill Fort),1185,In Ruins,Maratha Empire,Unknown,c. 17th Century,Watchtower fort in the Kalsubai range,Easy,1.5,Winter,None,None,FALSE,"A small fort offering splendid views of Harishchandragad, Ratangad and Kalsubai."
171,Kurdugad,Vishramgad,Raigad,Sudhagad,18.455,73.4,Jite,Giri Durg (Hill Fort),853,Partially Ruined,Maratha Empire,Shivaji Maharaj,c. 17th Century,Used as a prison; renamed Vishramgad after the goddess Kurdai,Medium,2.5,Winter,Year-round in cisterns,Caves,FALSE,"Features a large cave, granaries and a bastion in good condition."
172,Laling Fort,,Dhule,Dhule,20.7917,74.7167,Laling,Giri Durg (Hill Fort),533,In Ruins,Tughlaq dynasty,Faruqi Kings (rebuilt),c. 14th Century,Controlled the strategic route from north India to Deccan,Easy,1,Winter,None,None,FALSE,The fort lies on the Mumbai-Agra highway and is easily accessible.
173,Lingana,,Raigad,Mahad,18.2989,73.6194,Mohari,Giri Durg (Hill Fort),884,Pinnacle,Maratha Empire,Shivaji Maharaj,c. 1648,Used as a penal colony by the Marathas,Hard,4,Winter,None,Caves at base,FALSE,A massive pinnacle near Raigad and Torna; requires technical rock climbing.
174,Lohagad,,Pune,Maval,18.7056,73.4795,Lohagadwadi,Giri Durg (Hill Fort),1033,Well-Preserved,Satavahana Dynasty,Satavahanas,c. 30 BCE,Used to store treasury from Surat loot by Shivaji Maharaj,Easy,1.5,Monsoon; Winter,Seasonal,Caves and local homes,TRUE,Known for its 'Vinchukata' (scorpion's tail) fortified spur and intact gates.
175,Machnur Fort,,Solapur,Mangalvedha,17.4215,75.4513,Machnur,Bhuikot (Land Fort),480,In Ruins,Unknown,Unknown,Unknown,Small village fortification on the banks of the Bhima river,Easy,0.2,Winter,None,None,FALSE,A small gadi now mostly in ruins.
176,Madangad,,Nashik,Igatpuri,19.5892,73.6558,Kulangwadi,Giri Durg (Hill Fort),1474,In Ruins,Maratha Empire,Unknown,c. 17th-18th Century,Part of the intense Alang-Madan-Kulang trek,Hard,5,Winter,Seasonal in cisterns,Caves,FALSE,The middle fort of the AMK trio; has a challenging rock patch for climbing.
177,Madh Fort,Versova Fort,Mumbai Suburban,Andheri,19.1301,72.7845,Madh,Jal Durg (Sea Fort),10,Well-Preserved,Portuguese,Portuguese,c. 17th Century,A watchtower fort guarding the Marve Creek,Easy,0.2,All Seasons,None,None,FALSE,"Located on Madh Island, under the control of the Indian Air Force, access may be restricted."
178,Mahadevgad,,Thane,Shahapur,19.4512,73.3514,Mahadevgad,Giri Durg (Hill Fort),700,In Ruins,Maratha Empire,Unknown,Unknown,A hillock near Mahuli with some signs of fortification,Medium,2,Winter,None,None,FALSE,Often considered a part of the greater Mahuli fort range.
179,Mahim Fort,,Mumbai City,Mahim,19.0333,72.8333,Mahim,Jal Durg (Sea Fort),10,In Ruins,Yadava Dynasty,Raja Bhimdev,c. 13th Century,"Strategic fort in Mahim Bay; captured by Portuguese, then Marathas",Easy,0.2,All Seasons,None,None,FALSE,Heavily encroached upon; offers a view of the Bandra-Worli Sea Link.
180,Mahimangad,,Satara,Maan,17.7,74.55,Mahimangad,Giri Durg (Hill Fort),975,Partially Ruined,Maratha Empire,Shivaji Maharaj,c. 1673,Guarded the eastern frontier of Swarajya,Easy,1,Winter,Seasonal,Temple,FALSE,A straightforward trek with a Hanuman temple at the top.
181,Mahimatgad,Mahipatgad,Ratnagiri,Khed,17.7667,73.6,Wadi Beldar,Giri Durg (Hill Fort),1190,In Ruins,Adil Shahi; Maratha Empire,Adil Shah,c. 15th Century,One of the largest forts in Ratnagiri; captured by Shivaji Maharaj in 1661,Medium,3.5,Winter,Year-round in cisterns,Caves; Temple,FALSE,Note: This is an alternate name for Mahipatgad (ID 109).
